[[59.0, 193.0], [47.0, 177.0]] [[99.0, 107.0], [99.0, 122.0]] 83.3003957916 1340620.90163
[[47.0, 177.0], [76.0, 165.0]] [[78.0, 129.0], [99.0, 122.0]] 52.3668480137 1342264.41995
[[59.0, 193.0], [76.0, 165.0]] [[56.0, 193.0], [72.0, 204.0]] 19.09457875 1342889.89493
[[82.0, 127.0], [28.0, 120.0]] [[0.0, 630.0], [72.0, 204.0]] 464.63946375 1368190.35638
[[82.0, 127.0], [55.0, 84.0]] [[53.0, 83.0], [20.0, 94.0]] 13.7560787109 1368888.80765
[[75.0, 202.0], [95.0, 203.0]] [[53.0, 83.0], [45.0, 78.0]] 120.312785658 1371298.0693
[[0.0, 630.0], [95.0, 203.0]] [[72.0, 204.0], [94.0, 206.0]] 387.110352363 1540635.73087
[[75.0, 202.0], [59.0, 193.0]] [[0.0, 630.0], [94.0, 206.0]] 399.704043662 1547973.32173
[[59.0, 193.0], [86.0, 171.0]] [[72.0, 204.0], [56.0, 193.0]] 18.1960225624 1548607.05552
[[75.0, 202.0], [86.0, 171.0]] [[72.0, 204.0], [83.0, 181.0]] 7.82513909764 1548864.45384
[[165.0, 124.0], [141.0, 86.0]] [[142.0, 77.0], [142.0, 86.0]] 7.82937375548 1549216.34042
[[141.0, 86.0], [170.0, 103.0]] [[142.0, 86.0], [131.0, 86.0]] 9.3902516155 1549531.99817
[[165.0, 124.0], [170.0, 103.0]] [[142.0, 77.0], [131.0, 86.0]] 44.5516430688 1550493.73596
[[141.0, 86.0], [165.0, 124.0]] [[142.0, 86.0], [142.0, 77.0]] 16.8289023558 1551250.10105
[[165.0, 124.0], [113.0, 128.0]] [[142.0, 77.0], [151.0, 82.0]] 47.9851017638 1553752.69778
[[141.0, 86.0], [113.0, 128.0]] [[142.0, 86.0], [151.0, 82.0]] 29.6550901894 1555249.61906
[[95.0, 203.0], [116.0, 201.0]] [[94.0, 206.0], [116.0, 204.0]] 3.03299059074 1555313.60006
[[0.0, 630.0], [116.0, 201.0]] [[0.0, 630.0], [116.0, 204.0]] 2.70253968099 1556514.62585
[[95.0, 203.0], [75.0, 202.0]] [[94.0, 206.0], [72.0, 204.0]] 2.34997675683 1556561.68409
[[95.0, 203.0], [86.0, 171.0]] [[94.0, 206.0], [83.0, 181.0]] 4.28723379632 1556704.19835
[[131.0, 193.0], [0.0, 630.0]] [[134.0, 194.0], [0.0, 630.0]] 3.16110296042 1558146.33357
[[131.0, 193.0], [116.0, 201.0]] [[134.0, 194.0], [116.0, 204.0]] 2.53374911663 1558189.4073
[[116.0, 201.0], [95.0, 203.0]] [[116.0, 204.0], [94.0, 206.0]] 3.0343473348 1558253.41693
[[95.0, 203.0], [105.0, 172.0]] [[94.0, 206.0], [108.0, 181.0]] 7.40105301031 1558494.49139
[[116.0, 201.0], [105.0, 172.0]] [[116.0, 204.0], [108.0, 181.0]] 2.81281589752 1558581.73404
[[131.0, 193.0], [143.0, 179.0]] [[134.0, 194.0], [147.0, 178.0]] 3.26035000386 1558641.85193
[[630.0, 0.0], [143.0, 179.0]] [[630.0, 0.0], [147.0, 178.0]] 1.18710254431 1559257.78543
[[131.0, 193.0], [105.0, 172.0]] [[134.0, 194.0], [108.0, 181.0]] 3.40628503747 1559371.62876
